classe,atributo,tipo
Edif_Saneamento,operacional,integer
Dep_Saneamento,operacional,integer
Edif_Constr_Portuaria,operacional,integer
Edif_Ensino,operacional,integer
Edif_Religiosa,operacional,integer
Edif_Const_Turistica,operacional,integer
Edif_Const_Lazer,operacional,integer
Arquibancada,operacional,integer
Coreto_Tribuna,operacional,integer
Edif_Pub_Civil,operacional,integer
Posto_Fiscal,operacional,integer
Posto_Pol_Rod,operacional,integer
Posto_Pol_Rod,operacional,integer
Edif_Pub_Militar,operacional,integer
Edif_Comerc_Serv,operacional,integer
Deposito_Geral,operacional,integer
Edif_Ext_Mineral,operacional,integer
Edif_Industrial,operacional,integer
Edif_Agrop_Ext_Veg_Pesca,operacional,integer
Equip_Agropec,operacional,integer
Edif_Saude,operacional,integer
Edif_Servico_Social,operacional,integer
Edif_Constr_Est_Med,operacional,integer
Edificacao,operacional,integer
Edif_Habitacional,operacional,integer
Hab_Indigena,operacional,integer
Edif_Rodoviaria,situacaoFisica,integer
Posto_Combustivel,situacaoFisica,integer
Edif_Metro_Ferroviaria,situacaoFisica,integer
Edif_Const_Aeroportuaria,situacaoFisica,integer
Edif_Energia,situacaoFisica,integer
Edif_Comunic,situacaoFisica,integer
Edif_Abast_Agua,situacaoFisica,integer
Dep_Abast_Agua,situacaoFisica,integer
Edif_Saneamento,situacaoFisica,integer
Dep_Saneamento,situacaoFisica,integer
Edif_Constr_Portuaria,situacaoFisica,integer
Edif_Ensino,situacaoFisica,integer
Edif_Religiosa,situacaoFisica,integer
Edif_Const_Turistica,situacaoFisica,integer
Edif_Const_Lazer,situacaoFisica,integer
Arquibancada,situacaoFisica,integer
Coreto_Tribuna,situacaoFisica,integer
Edif_Pub_Civil,situacaoFisica,integer
Posto_Fiscal,situacaoFisica,integer
Posto_Pol_Rod,situacaoFisica,integer
Posto_Pol_Rod,situacaoFisica,integer
Edif_Pub_Militar,situacaoFisica,integer
Edif_Comerc_Serv,situacaoFisica,integer
Deposito_Geral,situacaoFisica,integer
Edif_Ext_Mineral,situacaoFisica,integer
Edif_Industrial,situacaoFisica,integer
Edif_Agrop_Ext_Veg_Pesca,situacaoFisica,integer
Equip_Agropec,situacaoFisica,integer
Edif_Saude,situacaoFisica,integer
Edif_Servico_Social,situacaoFisica,integer
Edif_Constr_Est_Med,situacaoFisica,integer
Edificacao,situacaoFisica,integer
Edif_Habitacional,situacaoFisica,integer
Hab_Indigena,situacaoFisica,integer
Galeria_Bueiro,matConstr,integer
Travessia_Pedestre,matConstr,integer
Tunel,matConstr,integer
Eclusa,matConstr,integer
Atracadouro,matConstr,integer
Passag_Elevada_Viaduto,matConstr,integer
Ponte,matConstr,integer
Galeria_Bueiro,operacional,integer
Travessia_Pedestre,operacional,integer
Tunel,operacional,integer
Eclusa,operacional,integer
Atracadouro,operacional,integer
Passag_Elevada_Viaduto,operacional,integer
Ponte,operacional,integer
Galeria_Bueiro,situacaoFisica,integer
Travessia_Pedestre,situacaoFisica,integer
Tunel,situacaoFisica,integer
Eclusa,situacaoFisica,integer
Atracadouro,situacaoFisica,integer
Passag_Elevada_Viaduto,situacaoFisica,integer
Ponte,situacaoFisica,integer
Descontinuidade_Geom_LIM,geometriaAproximada,integer
Descontinuidade_Geom_VEG,geometriaAproximada,integer
Objeto_Desconhecido,geometriaAproximada,integer
Bacia_Hidrografica,geometriaAproximada,integer
Trecho_Drenagem,geometriaAproximada,integer
Massa_Dagua,geometriaAproximada,integer
Trecho_Massa_Dagua,geometriaAproximada,integer
Limite_Massa_Dagua,geometriaAproximada,integer
Ponto_Drenagem,geometriaAproximada,integer
Barragem,geometriaAproximada,integer
Comporta,geometriaAproximada,integer
Sumidouro_Vertedouro,geometriaAproximada,integer
Queda_Dagua,geometriaAproximada,integer
Fonte_Dagua,geometriaAproximada,integer
Ponto_Inicio_Drenagem,geometriaAproximada,integer
Foz_Maritima,geometriaAproximada,integer
Confluencia,geometriaAproximada,integer
Corredeira,geometriaAproximada,integer
Natureza_Fundo,geometriaAproximada,integer
Rocha_Em_Agua,geometriaAproximada,integer
Recife,geometriaAproximada,integer
Banco_Areia,geometriaAproximada,integer
Quebramar_Molhe,geometriaAproximada,integer
Terreno_Suj_Inundacao,geometriaAproximada,integer
Area_Umida,geometriaAproximada,integer
Reservatorio_Hidrico,geometriaAproximada,integer
Ilha,geometriaAproximada,integer
Campo,geometriaAproximada,integer
Veg_Cultivada,geometriaAproximada,integer
Mangue,geometriaAproximada,integer
Brejo_Pantano,geometriaAproximada,integer
Veg_Restinga,geometriaAproximada,integer
Campinarana,geometriaAproximada,integer
Floresta,geometriaAproximada,integer
Macega_Chavascal,geometriaAproximada,integer
Cerrado_Cerradao,geometriaAproximada,integer
Caatinga,geometriaAproximada,integer
Estepe,geometriaAproximada,integer
Curva_Nivel,geometriaAproximada,integer
Ponto_Cotado_Altimetrico,geometriaAproximada,integer
Elemento_Fisiog_Natural,geometriaAproximada,integer
Alter_Fisiog_Antropica,geometriaAproximada,integer
Terreno_Exposto,geometriaAproximada,integer
Dolina,geometriaAproximada,integer
Duna,geometriaAproximada,integer
Gruta_Caverna,geometriaAproximada,integer
Pico,geometriaAproximada,integer
